cluster_id,catalog,ra_deg,dec_deg,z,M500c_Msun,M500c_method,R500c_Mpc
J1517.9+3127,MCXC-I,229.48291666666663,31.459722222222222,0.744,1.6042e+14,X-ray_Lx_scaling,0.6264
J1518.3-4632,MCXC-I,229.595,-46.540277777777774,0.056,1.23959996e+14,X-ray_Lx_scaling,0.7448
J1518.7+0613,MCXC-I,229.68999999999997,6.231111111111111,0.1021,3.118e+14,X-ray_Lx_scaling,0.9979
J1520.9+4840,MCXC-I,230.2270833333333,48.669444444444444,0.1076,2.6205001e+14,X-ray_Lx_scaling,0.94
J1521.2+3038,MCXC-I,230.3208333333333,30.64,0.0777,2.8536e+14,X-ray_Lx_scaling,0.9766
J1521.8+0742,MCXC-I,230.45833333333331,7.708888888888889,0.0442,2.5215001e+14,X-ray_Lx_scaling,0.9473
J1522.2+2952,MCXC-I,230.55624999999998,29.876944444444444,0.117,1.106e+14,X-ray_Lx_scaling,0.7029
J1522.4+2742,MCXC-I,230.61041666666665,27.709444444444443,0.0723,3.5078e+14,X-ray_Lx_scaling,1.048
J1523.0+0836,MCXC-I,230.77249999999998,8.6025,0.0355,2.1598001e+14,X-ray_Lx_scaling,0.902
J1523.1+3050,MCXC-I,230.78291666666664,30.845,0.0756,1.1796e+14,X-ray_Lx_scaling,0.728
J1524.0+1003,MCXC-I,231.01749999999998,10.05388888888889,0.22,7.775e+13,X-ray_Lx_scaling,0.6031
J1524.1+2955,MCXC-I,231.0408333333333,29.921111111111113,0.1145,4.5741e+14,X-ray_Lx_scaling,1.1292
J1524.2-3154,MCXC-I,231.0533333333333,-31.903888888888886,0.1028,3.5855e+14,X-ray_Lx_scaling,1.0452
J1524.6+0957,MCXC-I,231.16791666666663,9.959722222222222,0.516,3.045e+14,X-ray_Lx_scaling,0.8493
J1524.8+1005,MCXC-I,231.21749999999997,10.088333333333335,0.251,6.246e+13,X-ray_Lx_scaling,0.5543
J1525.7+2825,MCXC-I,231.4358333333333,28.428055555555556,0.1515,2.6463001e+14,X-ray_Lx_scaling,0.9292
J1525.9+1814,MCXC-I,231.4770833333333,18.23611111111111,0.127,2.7358e+14,X-ray_Lx_scaling,0.9474
J1528.0+6956,MCXC-I,232.01541666666662,69.94222222222223,0.1136,1.7024e+14,X-ray_Lx_scaling,0.8125
J1532.9+3021,MCXC-I,233.2258333333333,30.353055555555557,0.345,8.1626994e+14,X-ray_Lx_scaling,1.2608
J1533.2+3108,MCXC-I,233.32083333333333,31.148611111111112,0.0673,9.213e+13,X-ray_Lx_scaling,0.6722
J1535.0+0120,MCXC-I,233.7575,1.3469444444444443,0.32,1.3735e+14,X-ray_Lx_scaling,0.7027
J1535.1-4658,MCXC-I,233.78791666666663,-46.97916666666667,0.036,3.516e+13,X-ray_Lx_scaling,0.4925
J1536.5+0133,MCXC-I,234.14708333333328,1.5555555555555556,0.309,3.0654e+14,X-ray_Lx_scaling,0.9221
J1537.7+1200,MCXC-I,234.4358333333333,12.005833333333333,0.134,6.622e+13,X-ray_Lx_scaling,0.5891
J1539.5-8335,MCXC-I,234.89124999999999,-83.59222222222222,0.0728,3.177e+14,X-ray_Lx_scaling,1.0138
J1539.6+2147,MCXC-I,234.91,21.78888888888889,0.0411,1.4922e+14,X-ray_Lx_scaling,0.796
J1539.7+3424,MCXC-I,234.93374999999997,34.41555555555556,0.229,4.6611e+14,X-ray_Lx_scaling,1.092
J1539.8+3043,MCXC-I,234.95291666666665,30.71722222222222,0.098,3.1409e+14,X-ray_Lx_scaling,1.0017
J1540.1-0318,MCXC-I,235.03124999999997,-3.3080555555555553,0.1533,4.4239002e+14,X-ray_Lx_scaling,1.1021
J1540.1+1752,MCXC-I,235.03791666666663,17.878055555555555,0.0916,1.9190001e+14,X-ray_Lx_scaling,0.8518
J1540.1+6611,MCXC-I,235.0420833333333,66.18833333333333,0.245,1.5112e+14,X-ray_Lx_scaling,0.7458
J1540.8+1445,MCXC-I,235.2220833333333,14.759444444444444,0.441,1.2099e+14,X-ray_Lx_scaling,0.643
J1541.1+6626,MCXC-I,235.295,66.44166666666668,0.245,1.4026999e+14,X-ray_Lx_scaling,0.7275
J1544.0+5346,MCXC-I,236.0208333333333,53.774166666666666,0.112,2.802e+13,X-ray_Lx_scaling,0.4455
J1545.0+3603,MCXC-I,236.24999999999997,36.066111111111105,0.0654,1.5513999e+14,X-ray_Lx_scaling,0.8003
J1547.3+2057,MCXC-I,236.83499999999998,20.950277777777778,0.266,1.4167e+14,X-ray_Lx_scaling,0.7244
J1548.7-0259,MCXC-I,237.19125,-2.9963888888888888,0.101,1.8321e+14,X-ray_Lx_scaling,0.8361
J1549.2+1123,MCXC-I,237.30999999999997,11.38888888888889,0.226,2.3149e+14,X-ray_Lx_scaling,0.8657
J1552.2+2013,MCXC-I,238.05083333333332,20.22833333333333,0.136,9.829e+13,X-ray_Lx_scaling,0.6715
J1553.3+5107,MCXC-I,238.33541666666662,51.1225,0.2354,2.3664e+14,X-ray_Lx_scaling,0.8691
J1554.2+3237,MCXC-I,238.57333333333332,32.62777777777778,0.075,9.731e+13,X-ray_Lx_scaling,0.6829
J1556.1+6621,MCXC-I,239.0370833333333,66.35583333333332,0.2339,4.8927002e+14,X-ray_Lx_scaling,1.1078
J1557.7+3530,MCXC-I,239.4383333333333,35.50388888888889,0.1549,2.6998e+14,X-ray_Lx_scaling,0.9343
J1558.3+2713,MCXC-I,239.58583333333328,27.22694444444444,0.0894,8.1491005e+14,X-ray_Lx_scaling,1.3803
J1558.3-1410,MCXC-I,239.59666666666664,-14.167777777777777,0.097,3.8731002e+14,X-ray_Lx_scaling,1.0745
J1559.1+6353,MCXC-I,239.79166666666663,63.885,0.85,2.1665001e+14,X-ray_Lx_scaling,0.6639
J1600.3+3313,MCXC-I,240.0945833333333,33.22166666666667,0.088,1.5616e+14,X-ray_Lx_scaling,0.7962
J1601.3+5354,MCXC-I,240.34749999999994,53.90611111111111,0.1068,2.1643e+14,X-ray_Lx_scaling,0.8822
J1601.7-7544,MCXC-I,240.44458333333327,-75.7461111111111,0.153,6.876e+14,X-ray_Lx_scaling,1.2768
J1602.3+1601,MCXC-I,240.57791666666668,16.02,0.0353,2.4052e+14,X-ray_Lx_scaling,0.9351
J1603.0+2524,MCXC-I,240.75916666666666,25.403888888888886,0.0888,1.6041e+14,X-ray_Lx_scaling,0.8031
J1604.5+1743,MCXC-I,241.14874999999995,17.724444444444444,0.037,1.3202e+14,X-ray_Lx_scaling,0.7652
J1604.9+2355,MCXC-I,241.23749999999995,23.920555555555556,0.0326,9.289e+13,X-ray_Lx_scaling,0.6815
J1605.5+7208,MCXC-I,241.38208333333327,72.14666666666668,0.1332,1.8917e+14,X-ray_Lx_scaling,0.836
J1605.5+1626,MCXC-I,241.38416666666663,16.441944444444445,0.037,5.7e+13,X-ray_Lx_scaling,0.5783
J1606.7+2328,MCXC-I,241.67708333333331,23.483333333333334,0.31,1.10399995e+14,X-ray_Lx_scaling,0.6558
J1606.8+1746,MCXC-I,241.71791666666667,17.78111111111111,0.0321,3.311e+13,X-ray_Lx_scaling,0.4833
J1614.1-6307,MCXC-I,243.53291666666667,-63.13055555555555,0.062,1.3091001e+14,X-ray_Lx_scaling,0.7571
J1614.1+4909,MCXC-I,243.54,49.153055555555554,0.0579,7.88e+13,X-ray_Lx_scaling,0.64
